region;city2021;village2021;city2020;village2020
Алейский муниципальный район;0;13330;0;13505
Алтайский муниципальный район;0;26153;0;26046
Баевский муниципальный район;0;8547;0;8692
Бийский муниципальный район;0;30207;0;30519
Благовещенский муниципальный район;17463;9908;17558;10004
Бурлинский муниципальный район;0;9623;0;9753
Быстроистокский муниципальный район;0;8382;0;8444
Волчихинский муниципальный район;0;16699;0;16776
Егорьевский муниципальный район;0;12279;0;12441
Ельцовский муниципальный район;0;5924;0;5937
Завьяловский муниципальный район;0;17001;0;17147
Залесовский муниципальный район;0;13322;0;13471
Заринский муниципальный район;0;16245;0;16441
Змеиногорский муниципальный район;10187;8183;10209;8295
Калманский муниципальный район;0;12530;0;12586
Каменский муниципальный район;40294;9668;40387;9833
Ключевский муниципальный район;0;15659;0;15793
Косихинский муниципальный район;0;15177;0;15305
Красногорский муниципальный район;0;14587;0;14713
Краснощёковский муниципальный район;0;15808;0;15972
Крутихинский муниципальный район;0;10547;0;10583
Кулундинский муниципальный район;0;21674;0;21767
Курьинский муниципальный район;0;8573;0;8673
Кытмановский муниципальный район;0;11685;0;11771
Локтевский муниципальный район;12115;11557;12223;23977
Мамонтовский муниципальный район;0;21528;0;21637
Михайловский муниципальный район;2928;16010;2940;19076
Новичихинский муниципальный район;0;8694;0;8780
Зональный муниципальный район;0;19731;0;19845
Павловский муниципальный район;0;38252;0;38610
Панкрушихинский муниципальный район;0;11253;0;11390
Первомайский муниципальный район;0;54590;0;54730
Петропавловский муниципальный район;0;11202;0;11316
Поспелихинский муниципальный район;0;22313;0;22423
Ребрихинский муниципальный район;0;22075;0;22228
Родинский муниципальный район;0;17475;0;17615
Романовский муниципальный район;0;11464;0;11489
Рубцовский муниципальный район;0;21661;0;21945
Смоленский муниципальный район;0;20479;0;20679
Суетский муниципальный район;0;4100;0;4142
Советский муниципальный район;0;14841;0;14921
Солонешенский муниципальный район;0;8971;0;9044
Солтонский муниципальный район;0;6868;0;6936
Шелаболихинский муниципальный район;0;12468;0;12526
Табунский муниципальный район;0;8929;0;8981
Тальменский муниципальный район;18854;26737;18893;45793
Тогульский муниципальный район;0;7296;0;7344
Топчихинский муниципальный район;0;21491;0;21593
Третьяковский муниципальный район;0;11822;0;11932
Троицкий муниципальный район;0;21923;0;22046
Тюменцевский муниципальный район;0;13118;0;13286
Угловский муниципальный район;0;11425;0;11568
Усть-Калманский муниципальный район;0;13580;0;13639
Усть-Пристанский муниципальный район;0;10484;0;10584
Хабарский муниципальный район;0;13825;0;13933
Целинный муниципальный район;0;14431;0;14525
Чарышский муниципальный район;0;10914;0;10945
Шипуновский муниципальный район;0;30047;0;30311
Немецкий Национальный муниципальный район;0;15647;0;15747
Городской округ город Барнаул;650633;44907;651359;696263
Городской округ город Алейск;28434;0;28704;28704
Городской округ город Белокуриха;15128;0;15160;15160
Городской округ город Бийск;198433;9644;198949;208643
Городской округ город Заринск;45405;0;45645;45645
Городской округ город Новоалтайск;74586;0;74571;74571
Городской округ город Рубцовск;139565;0;140575;140575
Городской округ город Славгород;28757;9897;28903;38833
Городской округ город Яровое;17939;0;17996;17996
Городской округ поселок Сибирский (ЗАТО);12272;0;12207;12207
